"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","21-May-2021","       3060.00","       3061.00","       3088.20","       3055.10","       3080.50","       3080.50","       3075.95","    1685566","          5184715065.35","      74555","    1085313","         64.39"
"TCS","EQ","24-May-2021","       3080.50","       3081.50","       3105.00","       3072.00","       3082.45","       3081.50","       3089.42","    1652260","          5104527041.80","      79516","     896770","         54.28"
"TCS","EQ","25-May-2021","       3081.50","       3092.00","       3128.25","       3082.10","       3115.00","       3114.00","       3111.62","    1841613","          5730395912.55","     122270","     902281","         48.99"
"TCS","EQ","26-May-2021","       3114.00","       3120.00","       3165.00","       3103.80","       3158.00","       3158.50","       3143.41","    1923753","          6047145461.35","      98431","     937133","         48.71"
"TCS","EQ","27-May-2021","       3158.50","       3161.95","       3217.75","       3161.80","       3198.00","       3180.00","       3189.10","    5959785","         19006345222.15","     181046","    3733267","         62.64"
"TCS","EQ","28-May-2021","       3180.00","       3189.50","       3198.00","       3135.65","       3146.35","       3143.60","       3161.25","    1763701","          5575492889.05","      98509","     941310","         53.37"
"TCS","EQ","31-May-2021","       3143.60","       3150.00","       3170.35","       3128.60","       3163.40","       3159.15","       3155.52","    1652799","          5215439448.10","      86026","     731415","         44.25"
"TCS","EQ","01-Jun-2021","       3159.15","       3168.60","       3169.95","       3132.00","       3153.90","       3153.00","       3147.93","    1377441","          4336083044.90","      91948","     748839","         54.36"
"TCS","EQ","02-Jun-2021","       3153.00","       3150.85","       3159.45","       3115.00","       3135.00","       3129.45","       3128.08","    2240078","          7007134474.80","     132990","    1411614","         63.02"
"TCS","EQ","03-Jun-2021","       3129.45","       3154.55","       3154.55","       3122.65","       3144.90","       3141.25","       3136.68","    1281706","          4020300713.05","      91185","     617798","         48.20"
"TCS","EQ","04-Jun-2021","       3141.25","       3128.00","       3156.85","       3125.00","       3138.50","       3143.75","       3140.46","    1836060","          5766071003.15","      78503","    1117232","         60.85"
"TCS","EQ","07-Jun-2021","       3143.75","       3145.00","       3190.45","       3133.60","       3187.00","       3183.20","       3157.52","    2559821","          8082689475.70","     102542","    1587945","         62.03"
"TCS","EQ","08-Jun-2021","       3183.20","       3198.00","       3231.00","       3187.20","       3199.35","       3200.15","       3212.89","    2574057","          8270159545.55","     115327","    1314327","         51.06"
"TCS","EQ","09-Jun-2021","       3200.15","       3202.00","       3220.00","       3186.20","       3199.70","       3200.25","       3202.19","    1710925","          5478705691.35","      75025","     996569","         58.25"
"TCS","EQ","10-Jun-2021","       3200.25","       3210.00","       3224.00","       3193.00","       3216.00","       3216.80","       3210.54","    1874324","          6017589512.15","     100093","    1002378","         53.48"
"TCS","EQ","11-Jun-2021","       3216.80","       3211.55","       3309.00","       3211.00","       3279.00","       3273.80","       3269.42","    3452954","         11289168561.40","     139241","    1428491","         41.37"
"TCS","EQ","14-Jun-2021","       3273.80","       3279.00","       3308.70","       3270.35","       3277.15","       3276.35","       3284.58","    1847360","          6067799808.60","      82241","     925400","         50.09"
"TCS","EQ","15-Jun-2021","       3276.35","       3298.00","       3298.00","       3251.55","       3262.00","       3262.75","       3275.11","    1304985","          4273970422.60","      96054","     694189","         53.20"
"TCS","EQ","16-Jun-2021","       3262.75","       3262.10","       3294.70","       3253.00","       3270.00","       3274.35","       3273.56","    1635552","          5354077782.45","      92225","     973246","         59.51"
"TCS","EQ","17-Jun-2021","       3274.35","       3265.50","       3336.05","       3260.00","       3328.00","       3317.75","       3295.52","    2273413","          7492087861.65","     131862","    1308141","         57.54"
"TCS","EQ","18-Jun-2021","       3317.75","       3350.90","       3358.00","       3275.00","       3303.00","       3297.30","       3312.52","    3380431","         11197761791.30","     141335","    1857893","         54.96"
